Country;Attribute;Covid_Stringency
Ghana;2020;43,00207182
Ghana;2021;42,84115068
Ghana;2022;42,37112329
Greece;2020;55,11599448
Greece;2021;72,27019178
Greece;2022;30,84449315
Greenland;2020;34,98870166
Greenland;2021;40,23791781
Greenland;2022;17,36728767
Guatemala;2020;64,75279006
Guatemala;2021;53,60690411
Guatemala;2022;42,69161644
Guinea;2020;53,82737569
Guinea;2021;61,46356164
Guinea;2022;43,57789041
Guyana;2020;62,51361878
Guyana;2021;63,20079452
Guyana;2022;31,53983562
Haiti;2020;45,59248619
Haiti;2021;49,04545205
Haiti;2022;38,30750685
Honduras;2020;72,56232044
Honduras;2021;84,02035616
Honduras;2022;32,7290137
Hong Kong;2020;58,53872024
Hong Kong;2021;65,32454795
Hong Kong;2022;53,58693151
Hungary;2020;47,69422652
Hungary;2021;48,19843836
Hungary;2022;14,22813699
Iceland;2020;39,83737569
Iceland;2021;38,05687671
Iceland;2022;14,35879452
India;2020;65,48220994
India;2021;67,124
India;2022;41,68610959
Indonesia;2020;55,64469613
Indonesia;2021;68,63630137
Indonesia;2022;39,67134247
Iran;2020;48,7118232
Iran;2021;73,56334247
Iran;2022;56,2979726
Iraq;2020;65,39522099
Iraq;2021;70,81345205
Iraq;2022;39,63019178
Ireland;2020;57,16845304
Ireland;2021;58,55652055
Ireland;2022;12,49030137
Israel;2020;58,68883978
Israel;2021;51,76079452
Israel;2022;20,00153425
Italy;2020;65,35964088
Italy;2021;64,68668493
Italy;2022;27,48619178
Jamaica;2020;64,73069061
Jamaica;2021;73,64923288
Jamaica;2022;24,23942466
Japan;2020;32,92762431
Japan;2021;48,84783562
Japan;2022;39,68030137
Jordan;2020;58,93469613
Jordan;2021;50,42345205
Jordan;2022;15,01994521
Kazakhstan;2020;64,75367403
Kazakhstan;2021;66,76742466
Kazakhstan;2022;22,87539726
Kenya;2020;58,67430939
Kenya;2021;56,08969863
Kenya;2022;40,50810959
Kiribati;2020;19,56251381
Kiribati;2021;27,13682192
Kiribati;2022;29,11142466
Kosovo;2020;58,09839779
Kosovo;2021;52,04723288
Kosovo;2022;35,66509589
Kuwait;2020;66,40751381
Kuwait;2021;65,07578082
Kuwait;2022;14,82249315
Kyrgyzstan;2020;60,73127072
Kyrgyzstan;2021;48,94528767
Kyrgyzstan;2022;29,00126027
Laos;2020;35,35618785
Laos;2021;53,32117808
Laos;2022;50,16328767
Latvia;2020;41,09372928
Latvia;2021;49,57482192
Latvia;2022;16,23243836
Lebanon;2020;61,33668508
Lebanon;2021;64,71441096
Lebanon;2022;30,18454795
Lesotho;2020;49,52729282
Lesotho;2021;57,27227397
Lesotho;2022;25,41476712
Liberia;2020;54,00687845
Liberia;2021;42,9009863
Liberia;2022;39,65224658
Libya;2020;71,29640884
Libya;2021;63,24679452
Libya;2022;36,5259726
Liechtenstein;2020;43,90980663
Liechtenstein;2021;46,87646575
Liechtenstein;2022;15,94249315
Lithuania;2020;47,56798343
Lithuania;2021;46,80186301
Lithuania;2022;14,17805479
Luxembourg;2020;43,20135359
Luxembourg;2021;46,04334247
Luxembourg;2022;24,25917808
Macao;2021;27,90859327
Macao;2022;43,13065753
Madagascar;2020;48,48055249
Madagascar;2021;47,57082192
Madagascar;2022;17,16558904
Malawi;2020;45,67986188
Malawi;2021;41,52879452
Malawi;2022;30,21926027
Malaysia;2020;56,49024862
Malaysia;2021;70,62073973
Malaysia;2022;21,07690411
Mali;2020;39,38977901
Mali;2021;44,79865753
Mali;2022;28,86493151
Malta;2020;46,25803867
Malta;2021;51,80452055
Malta;2022;22,1300274
Mauritania;2020;39,25066298
Mauritania;2021;37,49983562
Mauritania;2022;32,46643836
Mauritius;2020;30,15160221
Mauritius;2021;52,53958904
Mauritius;2022;20,5690137
Mexico;2020;57,39265027
Mexico;2021;49,12136986
Mexico;2022;25,42287671
Moldova;2020;53,26563536
Moldova;2021;53,74821918
Moldova;2022;17,02443836
Monaco;2020;50,68378453
Monaco;2021;38,8320274
Monaco;2022;21,40361644
Mongolia;2020;59,63024862
Mongolia;2021;58,95473973
Mongolia;2022;10,9090137
Morocco;2020;61,83052486
Morocco;2021;67,87468493
Morocco;2022;32,33715068
Mozambique;2020;52,3840884
Mozambique;2021;51,34980822
Mozambique;2022;28,33309589
Myanmar;2020;63,12770718
Myanmar;2021;72,99065753
Myanmar;2022;55,77849315
Namibia;2020;44,02220994
Namibia;2021;45,70536986
Namibia;2022;16,68268493
Nepal;2020;66,65176796
Nepal;2021;51,94139726
Nepal;2022;35,65413699
Netherlands;2020;50,68342541
Netherlands;2021;57,8090137
Netherlands;2022;20,73243836
New Zealand;2020;36,92538674
New Zealand;2021;44,59435616
New Zealand;2022;22,93632877
Nicaragua;2020;12,60370166
